Day,Discuss in class,,Week,,,,,,,,,,,,,,,
1,Syllabus,,1,16-Jan,Monday,,,SKIP 9-10,,1.1,1,,Introduction,,2,1.089108911,3.036363636,pages per day
2,1.1-3,3.811881188,1,17-Jan,Tuesday,,,,,1.2,3,,Ordered Sets,,2,1.089108911,1,The Real and Complex Number Systems
3,1.4-5,2.178217822,1,18-Jan,Wednesday,,,,,1.3,5,,Fields,,3,1.633663366,2,Basic Topology
4,1.6-7,2.722772277,1,20-Jan,Friday,,,,,1.4,8,,The Real Field,,3,1.633663366,3,Numerical Sequences and Series
5,2.1-2.3,9.257425743,2,23-Jan,Monday,,,,,1.5,11,,The Extended Real Number System,,1,0.544554455,4,Continuity
6,2.1-2.3,,2,24-Jan,Tuesday,,,,,1.6,12,,The Complex Field,,4,2.178217822,5,Differentiation
7,2.1-2.3,,2,25-Jan,Wednesday,,exam,4,,1.7,16,,Euclidean Spaces,,1,0.544554455,6,The Riemann-Stieltjes Integral
8,2.1-2.3,,2,27-Jan,Friday,,flex,6,,1.8,17,0,,,0,0,7,Sequences and Series of Functions
9,2.1-2.3,,3,30-Jan,Monday,,class,45,,exercises,21,0,,,0,0,8,Some Special Functions
10,2.1-2.3,,3,31-Jan,Tuesday,,,,,2.1,24,,"Finite, Countable, and Uncountable Sets",,6,3.267326733,9,Functions of Several Variables
11,2.1-2.3,,3,1-Feb,Wednesday,,2,Monday,,2.2,30,,Metric Spaces,,6,3.267326733,10,Integration of Differential Forms
12,2.1-2.3,,3,3-Feb,Friday,,3,Tuesday,,2.3,36,,Compact Sets,,5,2.722772277,11,The Lebesgue Theory
13,2.1-2.3,,4,6-Feb,Monday,,4,Wednesday,,2.4,41,,Perfect Sets,,1,0.544554455,,
14,2.1-2.3,,4,7-Feb,Tuesday,,5,Thursday,,2.5,42,,Connected Sets,,1,0.544554455,,
15,2.1-2.3,,4,8-Feb,Wednesday,,6,Friday,,exercises,43,0,,,0,0,,
16,2.1-2.3,,4,10-Feb,Friday,,,,,3.1,47,,Convergent Sequences,,4,2.178217822,,
17,2.4-5,1.089108911,5,13-Feb,Monday,,,,,3.2,51,,Subsequences,,1,0.544554455,,
18,2.4-5,,5,14-Feb,Tuesday,,0.346534653,pct of material,,3.3,52,,Cauchy Sequences,,3,1.633663366,,
19,Flex,,5,15-Feb,Wednesday,,0.381818182,pct of semester,,3.4,55,,Upper and Lower Limits,,2,1.089108911,,
20,**Exam**,,5,17-Feb,Friday,,,,,3.5,57,,Some Special Sequences,,1,0.544554455,,
21,3.1,2.178217822,6,20-Feb,Monday,,0,,,3.6,58,,Series,,3,1.633663366,,
22,3.2-3,2.178217822,6,21-Feb,Tuesday,,,,,3.7,61,,Series of Nonnegative Terms,,2,1.089108911,,
23,3.4-5,1.633663366,6,22-Feb,Wednesday,,,,,3.8,63,,The Number e,,2,1.089108911,,
24,3.6,1.633663366,6,24-Feb,Friday,,,,,3.9,65,,The Root and Ratio Tests,,4,2.178217822,,
25,3.7-8,2.178217822,7,27-Feb,Monday,,,,,3.1,69,,Power Series,,1,0.544554455,,
26,3.9,2.178217822,7,28-Feb,Tuesday,,,,,3.11,70,,Summation by Parts,,1,0.544554455,,
27,3.10-12,1.633663366,7,1-Mar,Wednesday,,,,,3.12,71,,Absolute Convergence,,1,0.544554455,,
28,3.10-12,,9,13-Mar,Monday,,,,,3.13,72,0,Addition and Multiplication of Series,,0,0,,
29,3.14,1.633663366,9,14-Mar,Tuesday,,,,,3.14,75,,Rearrangements,,3,1.633663366,,
30,**Exam**,,9,15-Mar,Wednesday,,,,,exercises,78,0,,,0,0,,
31,4.1,1.089108911,9,17-Mar,Friday,,,,,4.1,83,,Limits of Functions,,2,1.089108911,,
32,4.2,2.178217822,10,20-Mar,Monday,,,,,4.2,85,,Continuous Functions,,4,2.178217822,,
33,4.3,2.178217822,10,21-Mar,Tuesday,,,,,4.3,89,,Continuity and Compactness,,4,2.178217822,,
34,4.4-5,1.089108911,10,22-Mar,Wednesday,,,,,4.4,93,,Continuity and Connectedness,,1,0.544554455,,
35,4.6-7,1.633663366,10,24-Mar,Friday,,,,,4.5,94,,Discontinuities,,1,0.544554455,,
36,5.1,2.178217822,11,27-Mar,Monday,,,,,4.6,95,,Monotonic Functions,,2,1.089108911,,
37,5.2-3,1.089108911,11,28-Mar,Tuesday,,,,,4.7,97,,Infinite Limits and Limits at Infinity,,1,0.544554455,,
38,5.4-6,1.089108911,11,29-Mar,Wednesday,,,,,exercises,98,0,,,0,0,,
39,**Exam**,,11,31-Mar,Friday,,,,,5.1,103,,The Derivative of a Real Function,,4,2.178217822,,
40,6.1,4.356435644,12,3-Apr,Monday,,,,,5.2,107,,Mean Value Theorem,,1,0.544554455,,
41,6.1,,12,4-Apr,Tuesday,,,,,5.3,108,,The Continuity of Derivatives,,1,0.544554455,,
42,6.2-3,3.811881188,12,5-Apr,Wednesday,,,,,5.4,109,,L'Hospital's Rule,,1,0.544554455,,
43,,,12,7-Apr,Friday,,,,,5.5,110,,Derivatives of Higher Order,,0,0,,
44,,,13,10-Apr,Monday,,,,,5.6,110,,Taylor's Theorem,,1,0.544554455,,
45,,,13,11-Apr,Tuesday,,,,,5.7,111,0,Differentiation of Vector-valued Functions,,0,0,,
46,,,13,12-Apr,Wednesday,,,,,exercises,114,0,,,0,0,,
47,,,14,18-Apr,Tuesday,,,,,6.1,120,,Definition and Existence of the Integral,,8,4.356435644,,
48,,,14,19-Apr,Wednesday,,,,,6.2,128,,Properties of the Integral,,5,2.722772277,,
49,,,14,21-Apr,Friday,,,,,6.3,133,,Integration and Differentiation,,2,1.089108911,,
50,,,15,24-Apr,Monday,,,,,6.4,135,0,Integration of Vector-valued Functions,,0,0,,
51,,,15,26-Apr,Wednesday,,,,,6.5,136,0,Rectifiable Curves,,0,0,,
52,,,15,28-Apr,Friday,,,,,exercises,138,0,,,0,0,,
53,,,16,1-May,Monday,,,,,7.1,143,0,Discussion of Main Problem,,0,0,,
54,,,16,2-May,Tuesday,,,,,7.2,147,0,Uniform Convergence,,0,0,,
55,,,16,3-May,Wednesday,,,,,7.3,149,0,Uniform Convergence and Continuity,,0,0,,
,,,,,,,,,,7.4,151,0,Uniform Convergence and Integration,,0,0,,
,,,,,,,,,,7.5,152,0,Uniform Convergence and Differentiation,,0,0,,
,,,,,,,,,,7.6,154,0,Equicontinuous Families of Functions,,0,0,,
,,,,,,,,,,7.7,159,0,The Stone-Weierstrass Theorem,,0,0,,
,,,,,,,,,,exercises,165,0,,,0,0,,
,,,,,,,,,,8.1,172,0,Power Series,,0,0,,
,,,,,,,,,,8.2,178,0,The Exponential and Logarithmic Functions,,0,0,,
,,,,,,,,,,8.3,182,0,The Trigonometric Functions,,0,0,,
,,,,,,,,,,8.4,184,0,The Algebraic Completeness of the Complex Field,,0,0,,
,,,,,,,,,,8.5,185,0,Fourier Series,,0,0,,
,,,,,,,,,,8.6,192,0,The Gamma Function,,0,0,,
,,,,,,,,,,exercises,196,0,,,0,0,,
,,,,,,,,,,9.1,204,0,Linear Transformations,,0,0,,
,,,,,,,,,,9.2,211,0,Differentiation,,0,0,,
,,,,,,,,,,9.3,220,0,The Contraction Principle,,0,0,,
,,,,,,,,,,9.4,221,0,The Inverse Function Theorem,,0,0,,
,,,,,,,,,,9.5,223,0,The Implicit Function Theorem,,0,0,,
,,,,,,,,,,9.6,228,0,The Rank Theorem,,0,0,,
,,,,,,,,,,9.7,231,0,Determinants,,0,0,,
,,,,,,,,,,9.8,235,0,Derivatives of Higher Order,,0,0,,
,,,,,,,,,,9.9,236,0,Differentiation of Integrals,,0,0,,
,,,,,,,,,,exercises,239,0,,,0,0,,
,,,,,,,,,,10.1,245,0,Integration,,0,0,,
,,,,,,,,,,10.2,248,0,Primitive Mappings,,0,0,,
,,,,,,,,,,10.3,251,0,Partitions of Unity,,0,0,,
,,,,,,,,,,10.4,252,0,Change of Variables,,0,0,,
,,,,,,,,,,10.5,253,0,Differential Forms,,0,0,,
,,,,,,,,,,10.6,256,0,Simplexes and Chains,,0,0,,
,,,,,,,,,,10.7,273,0,Stokes' Theorem,,0,0,,
,,,,,,,,,,10.8,275,0,Closed Forms and Exact Forms,,0,0,,
,,,,,,,,,,10.9,280,0,Vector Analysis,,0,0,,
,,,,,,,,,,exercises,288,0,,,0,0,,
,,,,,,,,,,11.1,300,0,Set Functions,,0,0,,
,,,,,,,,,,11.2,302,0,Construction of the Lebesgue Measure,,0,0,,
,,,,,,,,,,11.3,310,0,Measure Spaces,,0,0,,
,,,,,,,,,,11.4,310,0,Measurable Functions,,0,0,,
,,,,,,,,,,11.5,313,0,Simple Functions,,0,0,,
,,,,,,,,,,11.6,314,0,Integration,,0,0,,
,,,,,,,,,,11.7,322,0,Comparison with the Riemann Integral,,0,0,,
,,,,,,,,,,11.8,325,0,Integration of Complex Functions,,0,0,,
,,,,,,,,,,11.9,325,0,Functions of Class L2,,0,0,,
,,,,,,,,,,exercises,332,0,,,0,0,,
,,,,,,,,,,,335,,,,,0,,
